Numero_de_Acuerdo,Descripcion_del_Acuerdo,Responsable_del_Seguimiento,Fecha_de_Reunion,Fecha_de_Cumplimiento,Estado,Tipo_de_Sesion
01-XX-091025,"Revisar protocolos de certificación para exportación de ganado bovino a Estados Unidos","M.Sc. Gerardo Solís Pasos (Gobierno del Estado)","2025-10-09","2025-12-01","Pendiente","Vigésima Ordinaria"
02-XX-091025,"Actualizar procedimientos de muestreo para tuberculosis bovina según estándares APHIS","Dr. Víctor Manuel Calderón Jiménez (SENASICA)","2025-10-09","2025-11-20","Pendiente","Vigésima Ordinaria"
03-XX-091025,"Coordinación interinstitucional para seguimiento de hatos bajo vigilancia epidemiológica","MVZ. José Joaquín Peral Rodríguez (SENASICA)","2025-10-09","2025-12-31","Pendiente","Vigésima Ordinaria"
