Row,Número de Acuerdo,Descripción del Acuerdo,Responsable del Seguimiento,Fecha de Reunión,Fecha de Cumplimiento,Estado,Tipo de Sesión
91,YUC/20-SEPT-24/CESO-003,Se agregará en la dispositiva “Reportes Mensuales de los Servicios del PGN – SINIIGA Atención Upp´s Por Especie.”; la columna de inventario:,MVZ. Francis A. Genovez Chanona,"20 septiembre, 2024","18 enero, 2025",Cumplido,17va Ordinaria
92,YUC/20-SEPT-24/CESO-004,Con base en el reporte de informe individual de TIA se aplicará lo referido en el procedimiento con relación al tiempo de entrega de la documentación.,MVZ. Francis A. Genovez Chanona,"20 septiembre, 2024","18 enero, 2025",Cumplido,17va Ordinaria
93,YUC/20-SEPT-24/CESO-005,Se enviará recomendación a los PIA´s a fin de que cumplen con los tiempos de entrega de información-documentación  señalados en el procedimiento.,MVZ. Francis A. Genovez Chanona,"20 septiembre, 2024","18 enero, 2025",Cumplido,17va Ordinaria
94,YUC/20-SEPT-24/CESO-006,Se gestionará reunión extraordinaria con las autoridades entrantes del Gobierno del Estado para dar a conocer el estatus que guardan los asuntos relacionados con este Consejo con énfasis en los asuntos críticos.,Presidencia - Secretario,"20 septiembre, 2024","18 enero, 2025",Cumplido,17va Ordinaria
95,YUC/18-ENE-25/CESO-001,Se dará seguimiento a la validación por parte del Gobierno del Estado a las organizaciones ganaderas (retomar tabla de la 5ta sesión extraordinaria ),M.Sc. Gerardo Solís Pasos,"18 enero, 2025",,Pendiente,18va Ordinaria
96,YUC/18-ENE-25/CESO-002,En la laminilla de PSG´s presentada por la ventanilla oriente y ventanilla centro se agregará el histórico,MVZ. Francis A. Genovez Chanona,"18 enero, 2025",Próxima reunión,Cumplido,18va Ordinaria
97,YUC/18-ENE-25/CESO-003,Se retomará el seguimiento del Acuerdo relacionado con la suspensión de PSG´s que no han actualizado o terminado su trámite en las ventanillas (oficio 447/24 de SESER) Acuerdo YUC/29-AGO-24/CESO-001,MVZ. Francis A. Genovez Chanona,"18 enero, 2025",,Pendiente,18va Ordinaria
98,YUC/18-ENE-25/CESO-004,La información correspondiente a la relación de TIA; se dividirá la tabla para mejor apreciación de los datos.,MVZ. Francis A. Genovez Chanona,"18 enero, 2025",Próxima reunión,Cumplido,18va Ordinaria
99,YUC/18-ENE-25/CESO-005,Agregar laminilla  “INVENTARIO ESTATAL DE SERVICIOS PGN SINIIGA de la UGROY por distribución de por función zootecnica  en similitud a la presentada por la ventanilla centro.,MVZ. Francis A. Genovez Chanona,"18 enero, 2025",Próxima reunión,Cumplido,18va Ordinaria
100,YUC/18-ENE-25/CESO-006,En la presentación de la ventanilla centro; en la laminilla de solicitudes de identificadores agregar una comuna con aretes devueltos ,MVZ. Francis A. Genovez Chanona,"18 enero, 2025",Próxima reunión,Cumplido,18va Ordinaria
101,YUC/18-ENE-25/CESO-007,Homologar formato de presentación (ventanilla oriente),MVZ. Francis A. Genovez ,"18 enero, 2025",,Pendiente,18va Ordinaria
102,YUC/18-ENE-25/CESO-008,Agregar histórico en la laminilla “reporte de la Situación del PGN SINIIGA (ventanilla centro),MVZ. Francis A. Genovez Chanona,"18 enero, 2025",Próxima reunión,Cumplido,18va Ordinaria
103,YUC/18-ENE-25/CESO-009,Aplicar procedimiento SINIIGA en aquellos TIA´s que han sobrepasado el tiempo estipulado para la devolución de documentación y/o aretes no aplicados. (YUC/20-SEPT-24/CESO-004),Uniones ,"18 enero, 2025",Permanente,Cumplido,18va Ordinaria
104,YUC/18-ENE-25/CESO-010,Se realizarán tres sesiones ordinarias en el 2025; llevándose a cabo el último viernes del mes de abril; julio y noviembre.,Todos los integrantes,"18 enero, 2025",Permanente,Cumplido,18va Ordinaria
105,YUC/28-ABR-25/CESO-001,En caso de que un TIA no regrese los aretes o la documentación dentro del plazo de 15 días naturales autorizados; se le suspenderá en caso de reincidir por 3 (tres) ocasiones; previa revisión y análisis de cada caso (seguimiento YUC/20-SEPT-24/CESO-004),MVZ. Francis A. Genovez Chanona,"28 abril, 2025",Permanente,Pendiente,19va Ordinaria
106,YUC/28-ABR-25/CESO-002,Enviar presentaciones elaboradas por la VAS Centro de Yucatán y Vas Oriente de Yucatán por lo menos 3 días antes de la Sesión para su revisión y análisis por los integrantes del CESO.,MVZ. Francis A. Genovez Chanona,"28 abril, 2025",Permanente,Pendiente,19va Ordinaria
107,YUC/28-ABR-25/CESO-003,Presentar por separado las situación de las PSG´s; agregando una columna para diferenciar las ya existentes y las de nuevo reconocimiento.,MVZ. Francis A. Genovez Chanona,"28 abril, 2025",Próxima reunión,Pendiente,19va Ordinaria
108,YUC/28-ABR-25/CESO-004,Envío de base de datos de PSG´s para programar reunión extraordinaria para depuración de la misma; previa revisión y análisis.,MVZ. Francis A. Genovez Chanona,"28 abril, 2025","28 abril, 2025",Pendiente,19va Ordinaria
109,YUC/28-ABR-25/CESO-005,Revisar información con el Comité Estatal de Fomento y Protección Pecuaria de Yucatán; S.C.P. para solicitar al SINIIGA el cierre de municipios por motivo de barrido.,Ing. Juan Carlos Rodríguez Andrade,"28 abril, 2025","6 mayo, 2025",Pendiente,19va Ordinaria
110,YUC/28-ABR-25/CESO-006,Presentar el estatus de los acuerdos alcanzados en las sesiones del CESO mediante la elaboración de un presentación.,Ing. Abigail Estrada Estrada,"28 abril, 2025",Permanente,Pendiente,19va Ordinaria
111,YUC/28-ABR-25/CESO-007,Una vez enviada la propuesta de Acta de cada sesión se contará con 3 días hábiles para la emisión de comentarios u observaciones; en caso no recibirse respuesta; se considerará validada.,Todos los integrantes,"28 abril, 2025",Permanente,Pendiente,19va Ordinaria
112,YUC/02-JUL-25/CESO-001,En municipios que ya se encuentren cerrados por concepto de constatación progresiva de hatos (barrido) de tuberculosis bovina; no se dará de alta ni se actualizará ninguna unidad de producción pecuaria que no demuestre fehacientemente que los animales ya fueron muestreados.,MVZ. Francis A. Genovez Chanona,"2 julio, 2025",Permanente,Pendiente,20va Ordinaria
113,YUC/02-JUL-25/CESO-002,La unidad de producción pecuaria que no participó en el proceso de constatación progresiva de hatos (barrido) de tuberculosis bovina; serán suspendidas y para su reactivación se deberá cumplir con el protocolo establecido para tal fin. ,MVZ. Francis A. Genovez Chanona,"2 julio, 2025",Permanente,Pendiente,20va Ordinaria
114,YUC/02-JUL-25/CESO-003,Se realizará una reunión entre SINIIGA y SEDER para revisión; análisis y depuración de prestadores de servicios ganaderos.,Ing. Juan Carlos Rodríguez Andrade  MVZ. Francis A. Genovez Chanona,"2 julio, 2025","12 julio, 2025",Pendiente,20va Ordinaria
115,YUC/02-JUL-25/CESO-004,La Dirección de Sanidad Agropecuaria solicitará al SINIIGA la baja de los centros de acopio para exportación.,Ing. Juan Carlos Rodríguez Andrade,"2 julio, 2025","12 julio, 2025",Pendiente,20va Ordinaria
116,YUC/02-JUL -25/CESO-005,Incluir en las presentaciones un mapa en el que se aprecien los municipios en los que se está llevando a cabo la constatación progresiva de hatos (barrido) de tuberculosis bovina.,MVZ. Francis A. Genovez Chanona,"2 julio, 2025",Próxima sesión,Pendiente,20va Ordinaria
117,YUC/02-JUL -25/CESO-006,La VAS Centro; revisará la información presentada con relación a los identificadores entregados solicitados – capturados contra los aplicados por TIA´s y PIA´s  por la diferencia entre estos reportes.,MVZ. Francis A. Genovez Chanona,"2 julio, 2025","2 julio, 2025",Pendiente,20va Ordinaria
118,YUC/02-JUL -25/CESO-007,Se enviará al Coordinador Peninsular del SINIIGA el Acta USDA – APHIS para sustento de suspensión de unidad de producción pecuaria por no haber participado en la constatación progresiva de hatos (barrido) de tuberculosis bovina.,Ing. Abigail Estrada Estrada,"2 julio, 2025","12 julio, 2025",Pendiente,20va Ordinaria
