Row,Número de Acuerdo,Descripción del Acuerdo,Responsable del Seguimiento,Fecha de Reunión,Fecha de Cumplimiento,Estado,Tipo de Sesión
61,CE-YUC-071223-003,Revisión de identificadores de rastro y orden de matanza,Jefes de Ventanilla,"7 diciembre, 2023","13 diciembre, 2023",cumplido,13va Ordinara
62,CE-YUC-071223-004,siguiente reunión para inicio de 2024.,MVZ. Francis A. Genovez Chanona,"7 diciembre, 2023","5 enero, 2024",cumplido,13va Ordinara
63,CE-YUC-181223-001,Los integrantes del CESO respetarán los 30 días hábiles para la reestructura del CESO; y con ello; acatar la instrucción total de la Dirección General de Salud Animal.,MVZ. María del Refugio Medina Juárez,"18 diciembre, 2023","18 diciembre, 2023",cumplido,2da Extraordinaria
64,CE-YUC-181223-002,Se realizará consulta para definir el tema de los integrantes del CESO; ya que en los lineamientos para el funcionamiento del CESO del oficio de la DGSA; menciona como integrantes a la OREF de SADER Yucatán o Coordinación General de Ganadería.,MVZ. Alejandra Reyes Saucedo,"18 diciembre, 2023","18 enero, 2024",cumplido,2da Extraordinaria
65,CE-YUC-180124-001,Agregar al reporte mensual el inventario de las claves de UPP actualizadas.,Jefes de Ventanilla,"18 enero, 2024","7 febrero, 2024",Cumplido,14va Ordinaria
66,CE-YUC-180124-002,Enviar lista de UPP con asignación de identificadores a TIA; agregando si son altas o actualizaciones en el PGN.,MVZ. Francis A. Genovez Chanona,"18 enero, 2024","7 febrero, 2024",Cumplido,14va Ordinaria
67,CE-YUC-180124-003,Proponer la modificación de formatos para reporte mensual de Ventanillas,MVZ. Jose Joaquin Peral Rodríguez,"18 enero, 2024","7 febrero, 2024",Cumplido,14va Ordinaria
68,CE-YUC-180124-004,Presentar reporte de REEMO con destino a rastros en el 2023.,Dr. Roger Díaz,"18 enero, 2024","7 febrero, 2024",Cumplido,14va Ordinaria
69,CE-YUC-180124-005,Presentar calendario para reuniones de 2024.,MVZ. Francis A. Genovez Chanona,"18 enero, 2024",proxima reunión,Cumplido,14va Ordinaria
70,CE-YUC-180124-006,Para los productores que quieran regularizar su situación ante el PGN (alta o actualización) y SINIIGA (identificación al 100% del hato); debe solicitar visita de campo a la Ventanilla y está se coordinará con SEDER.,Jefes de Ventanilla,"18 enero, 2024","19 enero, 2024",Cumplido,14va Ordinaria
71,CE-YUC-180124-007,Enviar el Directorio de Ventanillas SINIIGA y de Centros Expeditores de REEMO,Jefes de Ventanilla,"18 enero, 2024","19 enero, 2024",Cumplido,14va Ordinaria
