id,Row,Número de Acuerdo,Descripción del Acuerdo,Responsable del Seguimiento,Fecha de Reunión,Fecha de Cumplimiento,Estado,Tipo de Sesión
7c4msoycxw,46,CE-YUC-030823-001,"Agregar concepto Autorizado por SEDER y actualizado por SINIIGA, para las
claves de PSG en el Estado.",Jefes de Ventanilla,45507,45507,Permanente,9na Ordinaria
7c8z93olbb,66,CE-YUC-180124-002,"Enviar lista de UPP con asignación de identificadores a TIA, agregando si son altas o actualizaciones en el PGN.",MVZ. Francis A. Genovez Chanona,45309,45329,Cumplido,14va Ordinaria
7n3wyspo1s,95,YUC/18-ENE-25/CESO-001,Se dará seguimiento a la validación por parte del Gobierno del Estado a las organizaciones ganaderas (retomar tabla de la 5ta sesión extraordinaria ),Gobierno del Estado,45675,,Pendiente,18va Ordinaria
8nowiqsv0w,62,CE-YUC-071223-004,siguiente reunión para inicio de 2024.,MVZ. Francis A. Genovez Chanona,45267,45413,cumplido,13va Ordinara
90reavt0gl,7,CE-YUC-051222-003,"Se convocará a reunión el 11/12/2022, con los Presidentes de las AGL correspondientes a la Unión Ganadera Regional del Oriente de Yucatán (UGROY), con la finalidad de informarles acerca del CESO y las disposiciones de identificación en lo futuro.",MVZ. María del Refugio Medina Juárez,44900,44906,Cumplido,1ra Ordinaria
9a98i3714e,64,CE-YUC-181223-002,"Se realizará consulta para definir el tema de los integrantes del CESO, ya que en los lineamientos para el funcionamiento del CESO del oficio de la DGSA, menciona como integrantes a la OREF de SADER Yucatán o Coordinación General de Ganadería.",MVZ. Alejandra Reyes Saucedo,45278,45309,cumplido,2da Extraordinaria
9jmuqlab2x,96,YUC/18-ENE-25/CESO-002,En la laminilla de PSG´s presentada por la ventanilla oriente y ventanilla centro se agregará el histórico,MVZ. Francis A. Genovez Chanona,45675,45775,Cumplido,18va Ordinaria
9k7x39gru3,56,CE-YUC-061123-002,"Presentar información de las claves de UPP, de acuerdo a las vigentes y su
inventario respectivo",Jefes de Ventanilla,45236,45267,Cumplido,12va Ordinaria
9sokfh729y,113,YUC/02-JUL-25/CESO-002,"La unidad de producción pecuaria que no participó en el proceso de constatación progresiva de hatos (barrido) de tuberculosis bovina, serán suspendidas y para su reactivación se deberá cumplir con el protocolo establecido para tal fin.",MVZ. Francis A. Genovez Chanona,45840,Permanente,,20va Ordinaria
9t5voqhc0l,94,YUC/20-SEPT-24/CESO-006,Se gestionará reunión extraordinaria con las autoridades entrantes del Gobierno del Estado para dar a conocer el estatus que guardan los asuntos relacionados con este Consejo con énfasis en los asuntos críticos.,Presidencia - Secretario,45555,45675,Cumplido,17va Ordinaria
aasis1xwhg,117,YUC/02-JUL -25/CESO-006,"La VAS Centro, revisará la información presentada con relación a los identificadores entregados solicitados – capturados contra los aplicados por TIA´s y PIA´s por la diferencia entre estos reportes.",MVZ. Francis A. Genovez Chanona,45840,A la brevedad,,20va Ordinaria
adgfbq9yro,17,CE-YUC-020223-001,El representante de Gobierno del Estado se dará a la tarea de solicitar
autorización para establecer subsidio del 50% en la adquisición de los identificadores de Colmenas.,Ing. Gerardo Solis Pasos,44959,44987,Cumplido,3ra Ordinaria
apxb5tmzw2,70,CE-YUC-180124-006,"Para los productores que quieran regularizar su situación ante el PGN (alta o actualización) y SINIIGA (identificación al 100% del hato), debe solicitar visita de campo a la Ventanilla y está se coordinará con SEDER.",Jefes de Ventanilla,45309,45310,Cumplido,14va Ordinaria
b5x3jd0gea,49,CE-YUC-110923-001,Validar las actualizaciones de las claves de UPP de bovinos y colmenas,Jefes de Ventanilla,45180,45204,Cumplido,10ma Ordinaria
bcqb9k60nk,6,CE-YUC-051222-002,"Se convocará a reunión el 10/12/2022, con los Presidentes de las AGL correspondientes a la Unión Ganadera Regional de Yucatán (UGRY), con la finalidad de informarles acerca del CESO y las disposiciones de identificación en lo futuro.",MVZ. María del Refugio Medina Juárez,44900,44905,Cumplido,1ra Ordinaria
bs3qavhe3h,42,CE-YUC-060723-001,Rutas de barrido de acuerdo a la identificación animal en las comunidades,Lic. Leticia Loria Medrano,45113,45113,Cumplido,8va Ordinaria
c0yd4s6rrl,92,YUC/20-SEPT-24/CESO-004,Con base en el reporte de informe individual de TIA se aplicará lo referido en el procedimiento con relación al tiempo de entrega de la documentación.,MVZ. Francis A. Genovez Chanona,45555,45675,Cumplido,17va Ordinaria
ckfv5ezv6d,54,CE-YUC-051023-002,Enviar a Gobierno del Estado el reporte de identificadores ubicados en las claves de PSG P08.,Jefes de Ventanilla,45204,45208,Cumplido,11va Ordinaria
crgye6nnfj,93,YUC/20-SEPT-24/CESO-005,Se enviará recomendación a los PIA´s a fin de que cumplen con los tiempos de entrega de información-documentación señalados en el procedimiento.,MVZ. Francis A. Genovez Chanona,45555,45675,Cumplido,17va Ordinaria
e5o7mp7n3e,43,CE-YUC-060723-002,Coordinación entre la Ventanilla Oriente de Yucatán con los enlaces de CFPP (MVZ. Oscar Correa XXX) y SEDER (MVZ. Moíses Martín Sima) para barrido en Tizimín.,Lic. Leticia Loria Medrano,45113,45113,Cumplido,8va Ordinaria
epah7ix0ml,28,CE-YUC-020323-005,Se atenderá la queja de productor Diego A. Loria Gil involucrado en abuso de confianza en el uso de su clave de UPP.,Ing. Gerardo Solis Pasos,44987,45020,Cumplido,4ta Ordinaria
euk6b3ayrb,111,YUC/28-ABR-25/CESO-007,"Una vez enviada la propuesta de Acta de cada sesión se contará con 3 días hábiles para la emisión de comentarios u observaciones, en caso no recibirse respuesta, se considerará validada.",Todos los integrantes,45775,Permanente,Pendiente,19va Ordinaria
exp2bonew1,80,04/15-FEB-24/CESO-005,Se proporcionará el listado de variables para solicitar informes.,MVZ. Francis A. Genovez Chanona,45337,Próxima reunión,Cumplido,15va Ordinaria
fqcco6nb8u,68,CE-YUC-180124-004,Presentar reporte de REEMO con destino a rastros en el 2023.,Dr. Roger Díaz,45309,45329,Cumplido,14va Ordinaria
g1ijbvs14s,106,YUC/28-ABR-25/CESO-002,Enviar presentaciones elaboradas por la VAS Centro de Yucatán y Vas Oriente de Yucatán por lo menos 3 días antes de la Sesión para su revisión y análisis por los integrantes del CESO.,MVZ. Francis A. Genovez Chanona,45775,Permanente,Pendiente,19va Ordinaria
g2w9oo31mr,39,CE-YUC-040523-003,Actualizar la clave de PSG de la Subasta Ganadera de Tizimín.,Ing. Gerardo Solis Pasos,45050,próxima reunión,Permanente,6ta Ordinaria
